الجنسية,الفئات العمرية العريضة,الفئة العمرية,المنطقة,النوع,السكان
سعودي,أطفال,0-14 سنة,الباحة,أنثى,42966
غير سعودي,أطفال,0-14 سنة,الباحة,أنثى,2911
سعودي,أطفال,0-14 سنة,الجوف,أنثى,95836
غير سعودي,أطفال,0-14 سنة,الجوف,أنثى,4216
سعودي,أطفال,0-14 سنة,الحدود الشمالية,أنثى,54165
غير سعودي,أطفال,0-14 سنة,الحدود الشمالية,أنثى,4306
سعودي,أطفال,0-14 سنة,الرياض,أنثى,723921
غير سعودي,أطفال,0-14 سنة,الرياض,أنثى,208377
سعودي,أطفال,0-14 سنة,القصيم,أنثى,157727
غير سعودي,أطفال,0-14 سنة,القصيم,أنثى,13467
سعودي,أطفال,0-14 سنة,المدينة المنورة,أنثى,241469
غير سعودي,أطفال,0-14 سنة,المدينة المنورة,أنثى,39629
سعودي,أطفال,0-14 سنة,المنطقة الشرقية,أنثى,506398
غير سعودي,أطفال,0-14 سنة,المنطقة الشرقية,أنثى,88782
سعودي,أطفال,0-14 سنة,تبوك,أنثى,118643
غير سعودي,أطفال,0-14 سنة,تبوك,أنثى,6944
سعودي,أطفال,0-14 سنة,جازان,أنثى,170570
غير سعودي,أطفال,0-14 سنة,جازان,أنثى,29546
سعودي,أطفال,0-14 سنة,حائل,أنثى,95788
غير سعودي,أطفال,0-14 سنة,حائل,أنثى,5219
سعودي,أطفال,0-14 سنة,عسير,أنثى,253850
غير سعودي,أطفال,0-14 سنة,عسير,أنثى,15615
سعودي,أطفال,0-14 سنة,مكة المكرمة,أنثى,667219
غير سعودي,أطفال,0-14 سنة,مكة المكرمة,أنثى,229711
سعودي,أطفال,0-14 سنة,نجران,أنثى,78963
غير سعودي,أطفال,0-14 سنة,نجران,أنثى,11474
سعودي,أطفال,0-14 سنة,الباحة,ذكر,44410
غير سعودي,أطفال,0-14 سنة,الباحة,ذكر,3037
سعودي,أطفال,0-14 سنة,الجوف,ذكر,98074
غير سعودي,أطفال,0-14 سنة,الجوف,ذكر,4737
سعودي,أطفال,0-14 سنة,الحدود الشمالية,ذكر,56177
غير سعودي,أطفال,0-14 سنة,الحدود الشمالية,ذكر,4904
سعودي,أطفال,0-14 سنة,الرياض,ذكر,750519
غير سعودي,أطفال,0-14 سنة,الرياض,ذكر,217495
سعودي,أطفال,0-14 سنة,القصيم,ذكر,162690
غير سعودي,أطفال,0-14 سنة,القصيم,ذكر,13594
سعودي,أطفال,0-14 سنة,المدينة المنورة,ذكر,249069
غير سعودي,أطفال,0-14 سنة,المدينة المنورة,ذكر,41371
سعودي,أطفال,0-14 سنة,المنطقة الشرقية,ذكر,525828
غير سعودي,أطفال,0-14 سنة,المنطقة الشرقية,ذكر,92120
سعودي,أطفال,0-14 سنة,تبوك,ذكر,122878
غير سعودي,أطفال,0-14 سنة,تبوك,ذكر,7104
سعودي,أطفال,0-14 سنة,جازان,ذكر,177946
غير سعودي,أطفال,0-14 سنة,جازان,ذكر,32029
سعودي,أطفال,0-14 سنة,حائل,ذكر,98535
غير سعودي,أطفال,0-14 سنة,حائل,ذكر,5491
سعودي,أطفال,0-14 سنة,عسير,ذكر,263950
غير سعودي,أطفال,0-14 سنة,عسير,ذكر,15710
سعودي,أطفال,0-14 سنة,مكة المكرمة,ذكر,691496
غير سعودي,أطفال,0-14 سنة,مكة المكرمة,ذكر,244864
سعودي,أطفال,0-14 سنة,نجران,ذكر,82551
غير سعودي,أطفال,0-14 سنة,نجران,ذكر,12599
سعودي,سن العمل,15-19 سنة,الباحة,أنثى,13311
غير سعودي,سن العمل,15-19 سنة,الباحة,أنثى,555
سعودي,سن العمل,15-19 سنة,الجوف,أنثى,22034
غير سعودي,سن العمل,15-19 سنة,الجوف,أنثى,987
سعودي,سن العمل,15-19 سنة,الحدود الشمالية,أنثى,13688
غير سعودي,سن العمل,15-19 سنة,الحدود الشمالية,أنثى,960
سعودي,سن العمل,15-19 سنة,الرياض,أنثى,213092
غير سعودي,سن العمل,15-19 سنة,الرياض,أنثى,41796
سعودي,سن العمل,15-19 سنة,القصيم,أنثى,47985
غير سعودي,سن العمل,15-19 سنة,القصيم,أنثى,2857
سعودي,سن العمل,15-19 سنة,المدينة المنورة,أنثى,68061
غير سعودي,سن العمل,15-19 سنة,المدينة المنورة,أنثى,10191
سعودي,سن العمل,15-19 سنة,المنطقة الشرقية,أنثى,132773
غير سعودي,سن العمل,15-19 سنة,المنطقة الشرقية,أنثى,17204
سعودي,سن العمل,15-19 سنة,تبوك,أنثى,32825
غير سعودي,سن العمل,15-19 سنة,تبوك,أنثى,1688
سعودي,سن العمل,15-19 سنة,جازان,أنثى,51581
غير سعودي,سن العمل,15-19 سنة,جازان,أنثى,7894
سعودي,سن العمل,15-19 سنة,حائل,أنثى,26285
غير سعودي,سن العمل,15-19 سنة,حائل,أنثى,1164
سعودي,سن العمل,15-19 سنة,عسير,أنثى,76482
غير سعودي,سن العمل,15-19 سنة,عسير,أنثى,3607
سعودي,سن العمل,15-19 سنة,مكة المكرمة,أنثى,198778
غير سعودي,سن العمل,15-19 سنة,مكة المكرمة,أنثى,71604
سعودي,سن العمل,15-19 سنة,نجران,أنثى,19544
غير سعودي,سن العمل,15-19 سنة,نجران,أنثى,2938
سعودي,سن العمل,15-19 سنة,الباحة,ذكر,13524
غير سعودي,سن العمل,15-19 سنة,الباحة,ذكر,691
سعودي,سن العمل,15-19 سنة,الجوف,ذكر,22452
غير سعودي,سن العمل,15-19 سنة,الجوف,ذكر,1075
سعودي,سن العمل,15-19 سنة,الحدود الشمالية,ذكر,13721
غير سعودي,سن العمل,15-19 سنة,الحدود الشمالية,ذكر,1053
سعودي,سن العمل,15-19 سنة,الرياض,ذكر,217502
غير سعودي,سن العمل,15-19 سنة,الرياض,ذكر,46351
سعودي,سن العمل,15-19 سنة,القصيم,ذكر,49593
غير سعودي,سن العمل,15-19 سنة,القصيم,ذكر,3016
سعودي,سن العمل,15-19 سنة,المدينة المنورة,ذكر,69893
غير سعودي,سن العمل,15-19 سنة,المدينة المنورة,ذكر,11508
سعودي,سن العمل,15-19 سنة,المنطقة الشرقية,ذكر,138086
غير سعودي,سن العمل,15-19 سنة,المنطقة الشرقية,ذكر,17917
سعودي,سن العمل,15-19 سنة,تبوك,ذكر,33752
غير سعودي,سن العمل,15-19 سنة,تبوك,ذكر,1952
سعودي,سن العمل,15-19 سنة,جازان,ذكر,54619
غير سعودي,سن العمل,15-19 سنة,جازان,ذكر,8591
سعودي,سن العمل,15-19 سنة,حائل,ذكر,26848
غير سعودي,سن العمل,15-19 سنة,حائل,ذكر,1334
سعودي,سن العمل,15-19 سنة,عسير,ذكر,79244
غير سعودي,سن العمل,15-19 سنة,عسير,ذكر,4092
سعودي,سن العمل,15-19 سنة,مكة المكرمة,ذكر,202433
غير سعودي,سن العمل,15-19 سنة,مكة المكرمة,ذكر,74213
سعودي,سن العمل,15-19 سنة,نجران,ذكر,20139
غير سعودي,سن العمل,15-19 سنة,نجران,ذكر,3217
سعودي,سن العمل,20-24 سنة,الباحة,أنثى,10796
غير سعودي,سن العمل,20-24 سنة,الباحة,أنثى,824
سعودي,سن العمل,20-24 سنة,الجوف,أنثى,18984
غير سعودي,سن العمل,20-24 سنة,الجوف,أنثى,1984
سعودي,سن العمل,20-24 سنة,الحدود الشمالية,أنثى,11936
غير سعودي,سن العمل,20-24 سنة,الحدود الشمالية,أنثى,1629
